Suburb,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Ivanhoe,-37.76811,145.04575,Gotham Doughnuts,-37.766471,145.045084,Donut Shop
Ivanhoe,-37.76811,145.04575,Caffe Strada,-37.76728,145.04399,Café
Ivanhoe,-37.76811,145.04575,Thai Lantern,-37.76744,145.04435,Thai Restaurant
Ivanhoe,-37.76811,145.04575,Hot Kebab,-37.76663,145.04475,Kebab Restaurant
Ivanhoe,-37.76811,145.04575,Extracted,-37.766991,145.044515,Café
Ivanhoe,-37.76811,145.04575,Pinkie,-37.768177,145.044055,Café
Ivanhoe,-37.76811,145.04575,pronto,-37.767324,145.044431,Café
Ivanhoe,-37.76811,145.04575,The Foreigner,-37.766542,145.044607,Breakfast Spot
Ivanhoe,-37.76811,145.04575,Cafe Tre Fontane,-37.767077,145.04441,Café
Ivanhoe,-37.76811,145.04575,Noodle Sushi Bar,-37.76621133893565,145.04541050968135,Noodle House
Ivanhoe,-37.76811,145.04575,Kanda Japanese Restaurant,-37.76739,145.04386,Japanese Restaurant
Ivanhoe,-37.76811,145.04575,Tann,-37.76750835192183,145.04370948292424,Malay Restaurant
Ivanhoe,-37.76811,145.04575,the little greek souvalaki,-37.766736,145.044954,Greek Restaurant
Ivanhoe,-37.76811,145.04575,Breadwise,-37.767735033544916,145.04365565352177,Bakery
Ivanhoe,-37.76811,145.04575,Ocean Blue Fish & Chips,-37.76661,145.04539,Australian Restaurant
Ivanhoe,-37.76811,145.04575,Toyama Japanese Restaurant,-37.76721,145.04407,Japanese Restaurant
Ivanhoe,-37.76811,145.04575,Cafe Ivanhoe,-37.76705,145.044531,Coffee Shop
Ivanhoe,-37.76811,145.04575,Cosi Duci Gelateria,-37.76662,145.04481,Ice Cream Shop
Ivanhoe,-37.76811,145.04575,Victorian Bbq Grills,-37.766813,145.044976,Fast Food Restaurant
Ivanhoe,-37.76811,145.04575,Froth And Roll,-37.769112,145.045645,Café
Ivanhoe,-37.76811,145.04575,Brown Bag Cafe,-37.767804,145.042574,Café
Ivanhoe,-37.76811,145.04575,Popula Japanese Take Away,-37.76832,145.04267,Sushi Restaurant
Ivanhoe,-37.76811,145.04575,Romano's Pizza Bistro,-37.7686,145.04234,Pizza Place
