Suburb,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Croydon Park,-33.89732,151.10289,Anar Charcoal Chicken,-33.89580503395291,151.10635583389157,Lebanese Restaurant
Croydon Park,-33.89732,151.10289,Sangha's Tandoori Palace,-33.89655738681735,151.1024597006646,Indian Restaurant
Croydon Park,-33.89732,151.10289,McDonald's,-33.895654659034776,151.1075188651674,Fast Food Restaurant
Croydon Park,-33.89732,151.10289,Pure Gelato,-33.89708414490122,151.1081791954086,Ice Cream Shop
Croydon Park,-33.89732,151.10289,Cafe Aroma G&C,-33.89575,151.10801,Asian Restaurant
Croydon Park,-33.89732,151.10289,Hot Bread Shop,-33.89525,151.10778,Bakery
Croydon Park,-33.89732,151.10289,Filo Station,-33.895709,151.106533,Filipino Restaurant
Croydon Park,-33.89732,151.10289,Wok's Art,-33.89489,151.10925,Chinese Restaurant
Croydon Park,-33.89732,151.10289,Thai Orchid,-33.905078,151.104871,Thai Restaurant
Croydon Park,-33.89732,151.10289,Domino's Pizza,-33.89549,151.10681,Pizza Place
Croydon Park,-33.89732,151.10289,Little Thailand,-33.895716,151.107667,Thai Restaurant
Croydon Park,-33.89732,151.10289,Gee Jays Pizzeria & Family Restaurant,-33.89567565917969,151.10806274414062,Italian Restaurant
Croydon Park,-33.89732,151.10289,Geejays,-33.89572063044646,151.10799405897527,Italian Restaurant
Croydon Park,-33.89732,151.10289,Curry On Fire,-33.8955,151.10676,Indian Restaurant
Croydon Park,-33.89732,151.10289,Paesani Restaurant,-33.899585767108725,151.1049282391285,Italian Restaurant
Croydon Park,-33.89732,151.10289,mrad's pizza & food,-33.89527,151.10765,Pizza Place
Croydon Park,-33.89732,151.10289,Maranello's Woodfire Pizza,-33.89546203613281,151.1074676513672,Pizza Place
Croydon Park,-33.89732,151.10289,Pide Pizza Kebab,-33.895234,151.109283,Turkish Restaurant
Croydon Park,-33.89732,151.10289,Lebanese Bakery,-33.89553722527003,151.1075902091343,Bakery
Croydon Park,-33.89732,151.10289,Jo Jia  Cafe,-33.896992,151.110871,Coffee Shop
Croydon Park,-33.89732,151.10289,Caffettiera,-33.895718,151.10806,Coffee Shop
Croydon Park,-33.89732,151.10289,Samir Abla Pastry Coffee Lounge,-33.89558,151.10645,Cupcake Shop
Croydon Park,-33.89732,151.10289,Little Italy,-33.89575,151.10801,Italian Restaurant
Croydon Park,-33.89732,151.10289,Croydon Park Chinese Restaurant,-33.89558,151.10645,Chinese Restaurant
Croydon Park,-33.89732,151.10289,Garden House Cafe,-33.8946,151.097245,Café
Croydon Park,-33.89732,151.10289,Croydon Park Hotel,-33.895803456134345,151.10661828261576,Pub
